Numarul de carti este: 82
Numarul de pagini generat pentru fiecare carte: 
Cartea 1 are 9734 pagini;
Cartea 2 are 8212 pagini;
Cartea 3 are 4520 pagini;
Cartea 4 are 1525 pagini;
Cartea 5 are 5648 pagini;
Cartea 6 are 7336 pagini;
Cartea 7 are 4233 pagini;
Cartea 8 are 6575 pagini;
Cartea 9 are 7328 pagini;
Cartea 10 are 2563 pagini;
Cartea 11 are 9335 pagini;
Cartea 12 are 8000 pagini;
Cartea 13 are 9255 pagini;
Cartea 14 are 5232 pagini;
Cartea 15 are 614 pagini;
Cartea 16 are 7747 pagini;
Cartea 17 are 1556 pagini;
Cartea 18 are 5317 pagini;
Cartea 19 are 3027 pagini;
Cartea 20 are 1609 pagini;
Cartea 21 are 5510 pagini;
Cartea 22 are 4757 pagini;
Cartea 23 are 3650 pagini;
Cartea 24 are 4363 pagini;
Cartea 25 are 1327 pagini;
Cartea 26 are 7993 pagini;
Cartea 27 are 3099 pagini;
Cartea 28 are 2578 pagini;
Cartea 29 are 2586 pagini;
Cartea 30 are 6368 pagini;
Cartea 31 are 2576 pagini;
Cartea 32 are 6276 pagini;
Cartea 33 are 1486 pagini;
Cartea 34 are 3924 pagini;
Cartea 35 are 2099 pagini;
Cartea 36 are 6255 pagini;
Cartea 37 are 2690 pagini;
Cartea 38 are 6975 pagini;
Cartea 39 are 6053 pagini;
Cartea 40 are 843 pagini;
Cartea 41 are 3763 pagini;
Cartea 42 are 2654 pagini;
Cartea 43 are 6562 pagini;
Cartea 44 are 5659 pagini;
Cartea 45 are 6133 pagini;
Cartea 46 are 7125 pagini;
Cartea 47 are 2939 pagini;
Cartea 48 are 1253 pagini;
Cartea 49 are 2887 pagini;
Cartea 50 are 2676 pagini;
Cartea 51 are 676 pagini;
Cartea 52 are 6642 pagini;
Cartea 53 are 106 pagini;
Cartea 54 are 1432 pagini;
Cartea 55 are 2063 pagini;
Cartea 56 are 3623 pagini;
Cartea 57 are 6339 pagini;
Cartea 58 are 5092 pagini;
Cartea 59 are 3416 pagini;
Cartea 60 are 4789 pagini;
Cartea 61 are 8174 pagini;
Cartea 62 are 8865 pagini;
Cartea 63 are 2883 pagini;
Cartea 64 are 4143 pagini;
Cartea 65 are 5269 pagini;
Cartea 66 are 83 pagini;
Cartea 67 are 8707 pagini;
Cartea 68 are 6010 pagini;
Cartea 69 are 2786 pagini;
Cartea 70 are 6463 pagini;
Cartea 71 are 6844 pagini;
Cartea 72 are 7129 pagini;
Cartea 73 are 9682 pagini;
Cartea 74 are 2154 pagini;
Cartea 75 are 9675 pagini;
Cartea 76 are 4394 pagini;
Cartea 77 are 4650 pagini;
Cartea 78 are 3348 pagini;
Cartea 79 are 2837 pagini;
Cartea 80 are 1434 pagini;
Cartea 81 are 3694 pagini;
Cartea 82 are 8629 pagini;

Distribuirea cartilor in sectiuni:
Sectiunea 1: 9734 8212 4520 1525 5648 7336 4233 6575 7328 2563 9335 8000 9255 5232 614 7747 1556 5317 3027 1609 5510 4757 3650 4363 1327 
Sectiunea 2: 7993 3099 2578 2586 6368 2576 6276 1486 3924 2099 6255 2690 6975 6053 843 3763 2654 6562 5659 6133 7125 2939 1253 2887 2676 676 6642 106 1432 2063 3623 6339 5092 
Sectiunea 3: 3416 4789 8174 8865 2883 4143 5269 83 8707 6010 2786 6463 6844 7129 9682 2154 9675 4394 4650 3348 2837 1434 3694 8629 
